ID,TIME,MONTH,DAY_OF_WEEK,DAY_OF_MONTH,HOUR,TEMPERATURE,PRECIPITATION,MGD
1.60946E+12,1.60946E+12,0,5,1,0,75,0,144
1.60946E+12,1.60946E+12,0,5,1,1,74,0,164
1.60947E+12,1.60947E+12,0,5,1,2,73,0,160
1.60947E+12,1.60947E+12,0,5,1,3,73,0,158
1.60947E+12,1.60947E+12,0,5,1,4,73,0,143
1.60948E+12,1.60948E+12,0,5,1,5,74,0,148
1.60948E+12,1.60948E+12,0,5,1,6,75,0,149
1.60948E+12,1.60948E+12,0,5,1,7,75,0,151
1.60949E+12,1.60949E+12,0,5,1,8,76,0,156
1.60949E+12,1.60949E+12,0,5,1,9,77,0,163
1.6095E+12,1.6095E+12,0,5,1,10,77,0,186
1.6095E+12,1.6095E+12,0,5,1,11,78,0,201
1.6095E+12,1.6095E+12,0,5,1,12,79,0,210
1.60951E+12,1.60951E+12,0,5,1,13,79,0,211
1.60951E+12,1.60951E+12,0,5,1,14,80,0,209
1.60951E+12,1.60951E+12,0,5,1,15,81,0,194
1.60952E+12,1.60952E+12,0,5,1,16,80,0,193
1.60952E+12,1.60952E+12,0,5,1,17,79,0,193
1.60952E+12,1.60952E+12,0,5,1,18,79,0,207
1.60953E+12,1.60953E+12,0,5,1,19,78,0,205
1.60953E+12,1.60953E+12,0,5,1,20,77,0,199
1.60953E+12,1.60953E+12,0,5,1,21,77,0,200
1.60954E+12,1.60954E+12,0,5,1,22,76,0,165
1.60954E+12,1.60954E+12,0,5,1,23,75,0,166
1.60955E+12,1.60955E+12,0,6,2,0,76,0,162
1.60955E+12,1.60955E+12,0,6,2,1,75,0,143
1.60955E+12,1.60955E+12,0,6,2,2,75,0,141
1.60956E+12,1.60956E+12,0,6,2,3,75,0,140
1.60956E+12,1.60956E+12,0,6,2,4,75,0,140
1.60956E+12,1.60956E+12,0,6,2,5,75,0,142
1.60957E+12,1.60957E+12,0,6,2,6,76,0,140
1.60957E+12,1.60957E+12,0,6,2,7,76,0,141
1.60957E+12,1.60957E+12,0,6,2,8,77,0,178
1.60958E+12,1.60958E+12,0,6,2,9,77,0,194
1.60958E+12,1.60958E+12,0,6,2,10,77,0,214
1.60959E+12,1.60959E+12,0,6,2,11,78,0,220
1.60959E+12,1.60959E+12,0,6,2,12,78,0,223
1.60959E+12,1.60959E+12,0,6,2,13,79,0,220
1.6096E+12,1.6096E+12,0,6,2,14,79,0,214
1.6096E+12,1.6096E+12,0,6,2,15,80,0,210
1.6096E+12,1.6096E+12,0,6,2,16,79,0,209
1.60961E+12,1.60961E+12,0,6,2,17,79,0,206
1.60961E+12,1.60961E+12,0,6,2,18,78,0,210
1.60961E+12,1.60961E+12,0,6,2,19,78,0,204
1.60962E+12,1.60962E+12,0,6,2,20,77,0,198
1.60962E+12,1.60962E+12,0,6,2,21,77,0,192
1.60962E+12,1.60962E+12,0,6,2,22,77,0,191
1.60963E+12,1.60963E+12,0,6,2,23,76,0,180
1.60963E+12,1.60963E+12,0,0,3,0,71,0,164
1.60964E+12,1.60964E+12,0,0,3,1,70,0,164
1.60964E+12,1.60964E+12,0,0,3,2,69,0,160
1.60964E+12,1.60964E+12,0,0,3,3,69,0,158
1.60965E+12,1.60965E+12,0,0,3,4,69,0,143
1.60965E+12,1.60965E+12,0,0,3,5,70,0,148
1.60965E+12,1.60965E+12,0,0,3,6,71,0,149
1.60966E+12,1.60966E+12,0,0,3,7,72,0,151
1.60966E+12,1.60966E+12,0,0,3,8,73,0,156
1.60966E+12,1.60966E+12,0,0,3,9,74,0,163
1.60967E+12,1.60967E+12,0,0,3,10,75,0,186
1.60967E+12,1.60967E+12,0,0,3,11,76,0,201
1.60968E+12,1.60968E+12,0,0,3,12,77,0,210
1.60968E+12,1.60968E+12,0,0,3,13,78,0,211
